seed,condition_id,generator,method,segment,position_rmse_mm,orientation_rmse_deg,axis_rmse_deg
20270818,51,mixed,Frame scalar affine,Align,5.393338955909595,1.8323192930689949,1.0358482067155015
20270818,55,mixed,Frame scalar affine,Align,20.832456665544157,4.333111192489198,4.261975625788973
20270818,59,mixed,Frame scalar affine,Align,25.970243430938318,6.458701965525868,5.562566991432226
20270818,63,mixed,Frame scalar affine,Align,11.919132998384908,5.187932710693868,2.028693704992338
20270818,67,mixed,Frame scalar affine,Align,44.26586675718477,9.286105075146777,7.317277596033409
20270818,71,mixed,Frame scalar affine,Align,25.96498992930041,5.407048641613144,4.491775280255885
20270818,1,du,Frame scalar affine,Insert,3.81484539129051,1.3202399101365672,1.266514178434081
20270818,2,du,Frame scalar affine,Insert,10.338282475219387,1.3075565143228938,1.2790061577104292
20270818,3,dv,Frame scalar affine,Insert,9.062430965188174,1.3089814193433904,1.2810616281647422
20270818,4,dv,Frame scalar affine,Insert,6.3407363331971,1.308833272709673,1.2821758847580083
20270818,5,dw,Frame scalar affine,Insert,6.427952691656101,1.378838371963179,1.3535234780703673
20270818,6,dw,Frame scalar affine,Insert,8.976709011923854,1.2725235465541047,1.2539316124782944
20270818,7,roll,Frame scalar affine,Insert,17.04338044715204,5.954820913136635,5.948813700532511
20270818,8,roll,Frame scalar affine,Insert,20.349304441958427,6.9682213749618045,6.964098745540837
20270818,9,pitch,Frame scalar affine,Insert,15.736121926230583,4.952913704834814,4.939701658213891
20270818,10,pitch,Frame scalar affine,Insert,23.34793310787618,7.447784282485508,7.447423927996755
20270818,11,yaw,Frame scalar affine,Insert,4.5754214621155995,17.19281151023796,1.260801828512769
20270818,12,yaw,Frame scalar affine,Insert,4.618252620772383,8.50308705696381,1.2974669393183789
20270818,13,yaw,Frame scalar affine,Insert,4.446555673691766,9.071582123983761,1.3550379930321879
20270818,14,yaw,Frame scalar affine,Insert,4.486055337503968,17.7256257642159,1.3607215718098709
20270818,15,mixed,Frame scalar affine,Insert,14.353901243897264,9.841570943274002,4.254456826841193
20270818,19,mixed,Frame scalar affine,Insert,24.488293768904736,8.816395246509119,7.338594696083344
20270818,23,mixed,Frame scalar affine,Insert,3.688955239796038,2.4538261450191348,0.8673271397928669
20270818,27,mixed,Frame scalar affine,Insert,22.810265069749494,13.180292283489173,7.393213097296375
20270818,31,mixed,Frame scalar affine,Insert,7.87599586231747,6.031614119865564,3.7139860957099233
20270818,35,mixed,Frame scalar affine,Insert,6.855495271644602,4.3256472185466155,2.5194916676841634
20270818,39,mixed,Frame scalar affine,Insert,19.108971801887254,15.24754407369917,6.546894208110524
20270818,43,mixed,Frame scalar affine,Insert,12.94654662960761,13.090264882737605,3.217438156592919
20270818,47,mixed,Frame scalar affine,Insert,5.928527950661842,2.925710107236775,1.0155006440305654
20270818,51,mixed,Frame scalar affine,Insert,4.000354165541464,2.6958320622787384,0.7619116912278333
20270818,55,mixed,Frame scalar affine,Insert,16.704276490149493,4.63539090135694,4.628156253064965
20270818,59,mixed,Frame scalar affine,Insert,15.748142306384114,8.005092966109634,5.963019584200705
20270818,63,mixed,Frame scalar affine,Insert,7.390025339837578,8.341382734366952,2.465444163390423
20270818,67,mixed,Frame scalar affine,Insert,30.587116158880782,12.340091741996421,8.535591844920946
20270818,71,mixed,Frame scalar affine,Insert,18.322192658217833,6.243152291683694,4.775514060261796
20280818,1,du,Frozen diagonal,All assembly,2.906190742527937,0.46539276575437644,0.4335554397485623
20280818,2,du,Frozen diagonal,All assembly,5.889841653052906,0.3620151644916583,0.344580648144335
20280818,3,dv,Frozen diagonal,All assembly,2.5264324620408685,0.751420723631909,0.5996516958001268
20280818,4,dv,Frozen diagonal,All assembly,3.9274124404668327,0.3649702491308567,0.3473706476608267
20280818,5,dw,Frozen diagonal,All assembly,2.674119165431252,0.5244597222131541,0.4182106057374264
20280818,6,dw,Frozen diagonal,All assembly,2.5466534107611025,0.4664503590028491,0.4259214816279285
20280818,7,roll,Frozen diagonal,All assembly,4.658127263330396,1.0117495343671716,0.9931666930277623
20280818,8,roll,Frozen diagonal,All assembly,1.790139206564734,1.257156705843797,1.1670749460302354
20280818,9,pitch,Frozen diagonal,All assembly,5.934503977188537,0.6857006740722584,0.6340726539747737
20280818,10,pitch,Frozen diagonal,All assembly,2.043050666780669,0.9476411922830345,0.8814656984323124
20280818,11,yaw,Frozen diagonal,All assembly,1.6113748979126246,3.4540128527420317,0.39316132231628387
20280818,12,yaw,Frozen diagonal,All assembly,3.0288106085370843,1.7520883600419064,0.489972073958485
20280818,13,yaw,Frozen diagonal,All assembly,3.2955172229104024,1.9365310272740175,0.4720087421325745
20280818,14,yaw,Frozen diagonal,All assembly,2.3754592381110613,3.7791202114242606,0.8049776670483729
20280818,15,mixed,Frozen diagonal,All assembly,5.631828162137571,2.707571016234005,1.5046026258127696
20280818,19,mixed,Frozen diagonal,All assembly,4.623399080734086,1.491591902122535,0.8901305922237877
20280818,23,mixed,Frozen diagonal,All assembly,2.9675582153614712,0.6013570825323455,0.28573546046560644
20280818,27,mixed,Frozen diagonal,All assembly,13.08352717632183,3.2580535794233842,1.917075949942965
20280818,31,mixed,Frozen diagonal,All assembly,2.31663558287936,1.1836247368083779,0.6134905251415058
20280818,35,mixed,Frozen diagonal,All assembly,3.1600957959999305,0.8248502212480732,0.608071664527416
20280818,39,mixed,Frozen diagonal,All assembly,4.6637026801494255,5.367119949711301,3.1173353294763513
20280818,43,mixed,Frozen diagonal,All assembly,6.287000864079503,2.7676498440367574,0.8974953125359113
20280818,47,mixed,Frozen diagonal,All assembly,3.278917454606338,0.7465301791380579,0.3426220663397769
20280818,51,mixed,Frozen diagonal,All assembly,1.8528530862768722,0.9871938009214252,0.8504344856627869
20280818,55,mixed,Frozen diagonal,All assembly,1.7508600023241307,1.2354392512406172,1.0500249137278619
20280818,59,mixed,Frozen diagonal,All assembly,2.2994570827663536,1.78626164138969,1.5548108168283994
20280818,63,mixed,Frozen diagonal,All assembly,5.15879634622296,1.669552940876774,1.031598405777155
20280818,67,mixed,Frozen diagonal,All assembly,6.930668102801398,2.989681397152181,2.581920426863291
20280818,71,mixed,Frozen diagonal,All assembly,6.516368644524458,1.7047659200150975,0.9600693366707764
20280818,1,du,Frozen diagonal,Align,5.469833113300555,0.5360803689742998,0.43285882509965506
20280818,2,du,Frozen diagonal,Align,11.608253830937198,0.5010912230233928,0.46540813088351146
