sample_index,source_progress,phase,phase_index,phase_progress,generator,mean,sd,seed_20260818,seed_20270818,seed_20280818
79,0.7916666666666666,Insert,3,0.16666666666666666,du,0.9669711522695383,0.0013271923955456304,0.9684884542917329,0.9660259923179649,0.9663990101989175
80,0.8020833333333334,Insert,3,0.20833333333333334,du,0.9668106326798407,0.0015522925258977104,0.9685816639091204,0.9656859552483387,0.9661642788820628
81,0.8125,Insert,3,0.25,du,0.9665940598939818,0.0017266787516895979,0.9685850355734389,0.9656903946788856,0.9655067494296211
82,0.8229166666666666,Insert,3,0.2916666666666667,du,0.9663245745435513,0.002020466990012941,0.9684932657938917,0.9659851252556352,0.964495332581127
83,0.8333333333333334,Insert,3,0.3333333333333333,du,0.9660222000376669,0.002529633677475621,0.9683484869630978,0.9663888730337612,0.9633292401161415
84,0.84375,Insert,3,0.375,du,0.9657203402971017,0.003099016732703499,0.9682170562750636,0.9666920525105288,0.9622519121057131
85,0.8541666666666666,Insert,3,0.4166666666666667,du,0.9654561778496,0.003537633122941622,0.9681568277054774,0.9667600412871501,0.9614516645561726
86,0.8645833333333334,Insert,3,0.4583333333333333,du,0.9652587683619579,0.0037794940235108244,0.9681909201868265,0.9665920565435087,0.9609933283555383
87,0.875,Insert,3,0.5,du,0.9651401550785623,0.003880658575983879,0.9682994695726983,0.9663125079929423,0.9608084876700461
88,0.8854166666666666,Insert,3,0.5416666666666666,du,0.9650928328529159,0.003942721391633117,0.9684314519373242,0.9661040585052132,0.9607429881162105
89,0.8958333333333333,Insert,3,0.5833333333333334,du,0.9650935331806988,0.004045569982571696,0.9685293593793264,0.9661165980516546,0.9606346421111154
90,0.90625,Insert,3,0.625,du,0.9651112494842277,0.004233716373472686,0.968554702712869,0.9663947394557171,0.9603843062840964
91,0.9166666666666666,Insert,3,0.6666666666666666,du,0.9651168900161237,0.0045143669135695634,0.9685035382467918,0.9668553976203843,0.959991734181195
92,0.9270833333333333,Insert,3,0.7083333333333334,du,0.9650918206737781,0.004833176766285054,0.9684068180991201,0.9673224695543241,0.95954617436789
93,0.9375,Insert,3,0.75,du,0.9650327759050926,0.005080872687297472,0.9683170702422103,0.9676007742559797,0.9591804832170883
94,0.9479166666666666,Insert,3,0.7916666666666666,du,0.9649519203058702,0.005159188171896193,0.9682877739099047,0.9675584856540821,0.9590095013536237
95,0.9583333333333333,Insert,3,0.8333333333333334,du,0.9648729534801678,0.005054037591356171,0.9683533344635866,0.9671896715568801,0.9590758544200366
96,0.96875,Insert,3,0.875,du,0.9648255514491098,0.0048591951476327664,0.968515949777141,0.9666406115133631,0.9593200930568255
97,0.9791666666666666,Insert,3,0.9166666666666666,du,0.9648401034521762,0.004728988534620412,0.9687422226390711,0.9661971297023882,0.959580958015069
98,0.9895833333333333,Insert,3,0.9583333333333334,du,0.9649432484224766,0.004807126651797932,0.9689688013196706,0.966240254376145,0.9596206895716142
99,1.0,Insert,3,1.0,du,0.9651536233645827,0.005276373346155652,0.9691139200934342,0.9671831075335204,0.9591638424667933
0,0.0,Align,0,0.0,dv,0.014886802734854668,0.01458968446261571,0.012882337954752812,0.001402990688010866,0.03037507956180032
1,0.010416666666666666,Align,0,0.041666666666666664,dv,0.02388848664893398,0.016095574719368785,0.026945127760309162,0.006483761135449052,0.03823657105104373
2,0.020833333333333332,Align,0,0.08333333333333333,dv,0.04028740891050037,0.016099300899281167,0.05151537313245781,0.0218423277032467,0.04750452589579663
3,0.03125,Align,0,0.125,dv,0.06761520196407778,0.018682167187780832,0.0890866472088846,0.05507499876360164,0.05868395991974708
