seed,subset_id,protocol,sample_size,repeat,rank,augmented_intercept_rank,condition_number,optimization_success,optimization_nfev,lambda_min_post,lambda_max_post,lambda_ratio_post,log_det_post,trace_inv_post,ridge_post,lambda_min_design,lambda_max_design,lambda_ratio_design,log_det_design,trace_inv_design,ridge_design,fit_seconds
20260818,69,random,10,9,3,4,1.9556253995913793,True,11,5.190278459809388e-14,0.0007066255872514441,7.345160652896781e-11,-675.2665157026285,961169229.7904433,1e-08,2.9475365434474483e-13,0.01007190036289022,2.926494938638995e-11,-722.5708464084184,1079586232.4068174,1e-08,1.7181552927941084
20260818,70,qualified,10,0,3,4,2.507823102108305,True,31,1.146273236624902e-17,0.0003453279323328243,3.319375959197338e-14,-647.6291306880967,1026285371.9183834,1e-08,3.6766863164005666e-13,0.007131708938793464,5.155407137272466e-11,-693.6954874101741,981971672.3212941,1e-08,2.117980487179011
20260818,71,qualified,10,1,3,4,1.9048927595686345,True,11,4.85122821923226e-14,0.0005905544006502886,8.214701666587081e-11,-658.7816343451223,947161350.3287483,1e-08,4.650388026448095e-13,0.008465461476797054,5.49336623785286e-11,-704.6851548440882,1017666184.0302039,1e-08,1.934616249985993
20260818,72,qualified,10,2,3,4,1.7046585749260068,True,7,6.618803351645296e-14,0.000848946228581932,7.796493027245381e-11,-673.719388432015,975096571.0834153,1e-08,4.184731885837529e-13,0.009986586159373274,4.1903527582444144e-11,-712.8001520899804,1045333803.6767571,1e-08,2.855314697138965
20260818,73,qualified,10,3,3,4,1.4863058733284884,True,10,3.9216510318022685e-14,0.00050395665938218,7.781722810469401e-11,-664.5050783046364,946363917.5126172,1e-08,3.512814212861919e-13,0.007787851467620295,4.5106332952897424e-11,-714.8630375572786,1052248309.1002296,1e-08,0.7113324496895075
20260818,74,qualified,10,4,3,4,1.2693344623582434,True,11,3.336676617825945e-14,0.0007583508492887969,4.3999114934138674e-11,-668.5302333296818,968313159.7097374,1e-08,4.612623543063747e-13,0.012158543740813176,3.793730270164123e-11,-719.1977144248177,1067354278.8545998,1e-08,6.240791780408472
20260818,75,qualified,10,5,3,4,1.4724970320072517,True,12,6.734341178049694e-14,0.0008500462614806725,7.922323152529754e-11,-670.9947643034268,960353753.6866007,1e-08,3.8755338288896375e-13,0.011007560485832544,3.52079267143497e-11,-716.5517089846486,1058469319.8381088,1e-08,1.271659057121724
20260818,76,qualified,10,6,3,4,1.5038464513302212,True,19,8.451117374201181e-19,0.000666615225484568,1.2677654291586267e-15,-671.119938152876,1105930801.1807518,1e-08,3.874345953251717e-13,0.009898111312098098,3.9142275037018886e-11,-708.3056841806779,1030481580.3073463,1e-08,3.2767721000127494
20260818,77,qualified,10,7,3,4,1.1781228512081776,True,6,9.8434352868686e-14,0.0009183887592895989,1.071815741133721e-10,-667.104179445583,954342643.8815566,1e-08,5.325894389320074e-13,0.01206066281515926,4.41592180375515e-11,-713.1796593674006,1046526844.6357055,1e-08,0.8095881012268364
20260818,78,qualified,10,8,3,4,3.7490664647890672,True,9,2.8109223551589835e-14,0.0009296261686484925,3.023712595403326e-11,-699.2347677405187,1096020800.3239262,1e-08,2.864105361743373e-13,0.011152456796369859,2.568138495435054e-11,-721.4130308769732,1076169021.716879,1e-08,2.538847826886922
20260818,79,qualified,10,9,3,4,2.0890662027178224,True,5,7.001994838159695e-14,0.0008939382276642808,7.832750207421826e-11,-666.4287121071131,939486064.1189191,1e-08,4.589485669015664e-13,0.009217743206227112,4.9789688932918035e-11,-705.395723856938,1020188957.7959379,1e-08,1.0413866080343723
20260818,80,random,15,0,3,4,2.454876896994235,True,6,7.375282655863768e-14,0.0011920195800555907,6.187216031736505e-11,-666.0148350077018,947844281.9915876,1e-08,6.955494941709666e-13,0.014857765803962301,4.6813868474456364e-11,-710.8161356483849,1038659410.8694055,1e-08,2.237727789208293
20260818,81,random,15,1,3,4,2.037397853185196,True,4,1.1150511475897102e-13,0.0017207554666866377,6.480009328325843e-11,-679.4933836293192,972310269.8162127,1e-08,5.006927408961025e-13,0.01694878176285087,2.9541517962874725e-11,-715.2445724404179,1054897326.6091987,1e-08,0.9450662452727556
20260818,82,random,15,2,3,4,1.3131459779609205,True,7,1.1443554651762498e-13,0.0009631404770352879,1.1881501114964794e-10,-640.8884118205921,848692161.2263169,1e-08,7.603031396733736e-13,0.012656778830313048,6.007082448596193e-11,-698.2274759731256,996033255.6241288,1e-08,0.8962711449712515
20260818,83,random,15,3,3,4,1.1263199105131279,True,50,4.275007062978929e-14,0.001058551540079604,4.0385440870053855e-11,-662.950023993273,963446465.5616395,1e-08,7.686525058184937e-13,0.015602530524257714,4.92646051628258e-11,-709.5075654162694,1033930111.0155896,1e-08,3.4611684302799404
20260818,84,random,15,4,3,4,1.3053797349629375,True,6,1.3453541374396027e-14,0.0014906455983010958,9.025311844565312e-12,-688.8473444410466,1081917968.9030128,1e-08,7.227579574779292e-13,0.01778680740544184,4.063449617477742e-11,-718.4518177987693,1064716205.9993709,1e-08,2.553432947024703
