sample_size,protocol,metric,recovery,spearman_rho,pvalue_descriptive,subset_count,expected_sign
15,qualified,trace_inv_design,task_error_mean_mm_equiv,0.38181818181818183,0.27625533338543595,10,1
15,qualified,trace_inv_design,generator_rmse,0.23636363636363633,0.5108853175152002,10,1
15,qualified,trace_inv_design,switch_absolute_error,0.3939393939393939,0.25999776683488757,10,1
15,qualified,condition_number,task_error_mean_mm_equiv,0.33333333333333326,0.34659350708733405,10,1
15,qualified,condition_number,generator_rmse,0.24848484848484845,0.48877630451924314,10,1
15,qualified,condition_number,switch_absolute_error,0.3939393939393939,0.25999776683488757,10,1
20,random,lambda_min_post,task_error_mean_mm_equiv,-0.4545454545454545,0.186904810349332,10,-1
20,random,lambda_min_post,generator_rmse,-0.4666666666666666,0.17393859716506632,10,-1
20,random,lambda_min_post,switch_absolute_error,0.006060606060606061,0.9867429111949892,10,-1
20,random,lambda_ratio_post,task_error_mean_mm_equiv,-0.41818181818181815,0.22911284098281892,10,-1
20,random,lambda_ratio_post,generator_rmse,-0.16363636363636364,0.6514773427962428,10,-1
20,random,lambda_ratio_post,switch_absolute_error,-0.3696969696969697,0.2930500752928223,10,-1
20,random,log_det_post,task_error_mean_mm_equiv,0.2121212121212121,0.5563057751029299,10,-1
20,random,log_det_post,generator_rmse,0.06666666666666665,0.8548130882487426,10,-1
20,random,log_det_post,switch_absolute_error,-0.6484848484848483,0.04254012768448945,10,-1
20,random,trace_inv_post,task_error_mean_mm_equiv,-0.10303030303030303,0.7769984634438898,10,1
20,random,trace_inv_post,generator_rmse,0.11515151515151514,0.7514196523258483,10,1
20,random,trace_inv_post,switch_absolute_error,0.7454545454545454,0.013330146315440047,10,1
20,random,lambda_min_design,task_error_mean_mm_equiv,-0.29696969696969694,0.4047016712701569,10,-1
20,random,lambda_min_design,generator_rmse,-0.29696969696969694,0.4047016712701569,10,-1
20,random,lambda_min_design,switch_absolute_error,-0.29696969696969694,0.4047016712701569,10,-1
20,random,lambda_ratio_design,task_error_mean_mm_equiv,-0.5515151515151515,0.09840117666963498,10,-1
20,random,lambda_ratio_design,generator_rmse,-0.22424242424242422,0.5334005612725947,10,-1
20,random,lambda_ratio_design,switch_absolute_error,-0.22424242424242422,0.5334005612725947,10,-1
20,random,log_det_design,task_error_mean_mm_equiv,-0.17575757575757575,0.6271883447764844,10,-1
20,random,log_det_design,generator_rmse,0.01818181818181818,0.9602404181286243,10,-1
