condition,progress,mean,sd
heading_push,0.3645833333333333,0.0029278152780961107,0.005625634081516449
heading_push,0.375,0.00331553935906973,0.006430263807196482
heading_push,0.38541666666666663,0.0039863000615204406,0.007666401441966953
heading_push,0.3958333333333333,0.005137079350042606,0.00967912506979872
heading_push,0.40625,0.007000074657320806,0.01288280887205537
heading_push,0.41666666666666663,0.009874077619433328,0.017546806518102184
heading_push,0.4270833333333333,0.014126173481281094,0.023433902588914805
heading_push,0.4375,0.019208940240561034,0.029885114394215716
heading_push,0.44791666666666663,0.023353703085320865,0.03560870625319604
heading_push,0.4583333333333333,0.025695026010462765,0.0392425851389689
heading_push,0.46875,0.02684568437407352,0.04072736404170968
heading_push,0.47916666666666663,0.02804316827184554,0.0411670571810942
heading_push,0.4895833333333333,0.03087198018655109,0.04187195974493417
heading_push,0.5,0.03826443510477137,0.04300733511493501
heading_push,0.5,0.03826443510477137,0.04300733511493501
heading_push,0.5104166666666666,0.054908830498047734,0.043122831931213954
heading_push,0.5208333333333334,0.08204798683051619,0.04222957122931981
heading_push,0.53125,0.11497807885232089,0.041165214548779624
heading_push,0.5416666666666666,0.1490018494047508,0.039445905067256766
heading_push,0.5520833333333334,0.18137719930615584,0.03894992379401752
heading_push,0.5625,0.21176769656878325,0.03861281245036701
heading_push,0.5729166666666666,0.24069177738270564,0.03702786969754014
heading_push,0.5833333333333334,0.26865127792162835,0.034475040790243536
heading_push,0.59375,0.2962611586518526,0.03199059699053417
heading_push,0.6041666666666666,0.32430163374087767,0.030242065411358383
heading_push,0.6145833333333334,0.353392931278419,0.0291725642663591
heading_push,0.625,0.38353095710887947,0.02834006112420853
heading_push,0.6354166666666666,0.4138913515878137,0.02735645358462969
heading_push,0.6458333333333333,0.44314630800811744,0.026083216437824304
heading_push,0.65625,0.47018254594074294,0.024581797768185712
heading_push,0.6666666666666666,0.4948014707840112,0.02295567362984698
heading_push,0.6770833333333333,0.5179562906947559,0.02132869096615371
heading_push,0.6875,0.5413535161761918,0.019998685280094526
heading_push,0.6979166666666666,0.5666009026376968,0.019383740964670475
heading_push,0.7083333333333333,0.5943060939459582,0.019554822762449752
heading_push,0.71875,0.623557565659441,0.020024546129454285
heading_push,0.7291666666666666,0.6520670456074028,0.020264078903692504
heading_push,0.7395833333333333,0.6769471394346884,0.02019603128626542
heading_push,0.75,0.6957624917600369,0.02008014196236815
heading_push,0.75,0.6957624917600369,0.02008014196236815
heading_push,0.7604166666666666,0.7073625704259228,0.020092043286879958
heading_push,0.7708333333333334,0.7121806701254667,0.02016289226965631
heading_push,0.78125,0.7119772110362427,0.020171806932716644
heading_push,0.7916666666666666,0.7091933529284528,0.020113891210402888
heading_push,0.8020833333333334,0.706157796207316,0.02005269280204537
heading_push,0.8125,0.7044225768066228,0.020017857479085133
heading_push,0.8229166666666666,0.7044599590049128,0.0200061542525608
heading_push,0.8333333333333334,0.7057976370254869,0.02002439753486813
heading_push,0.84375,0.7074762158308663,0.02007427089713621
heading_push,0.8541666666666666,0.7085920812004796,0.020123165785996926
heading_push,0.8645833333333334,0.7086922076968938,0.020131734502803502
heading_push,0.875,0.7078913180508647,0.0200985426629671
heading_push,0.8854166666666666,0.7067185921593804,0.020054239325092683
heading_push,0.8958333333333333,0.7058076761767605,0.020022930241502677
heading_push,0.90625,0.705587426851819,0.020010399639987103
heading_push,0.9166666666666666,0.7061058042740265,0.020020919052842936
heading_push,0.9270833333333333,0.7070437083536619,0.020057847742614727
heading_push,0.9375,0.7078885198386583,0.020103808787806165
heading_push,0.9479166666666666,0.7081792689532447,0.02012307868247786
heading_push,0.9583333333333333,0.7077258330143283,0.02009745814603201
heading_push,0.96875,0.7067344806211526,0.02004913233548352
heading_push,0.9791666666666666,0.7058167138873245,0.020014482272370283
heading_push,0.9895833333333333,0.7058962651648227,0.020013082810029812
heading_push,1.0,0.7080514175381037,0.020120305949327302
free_yaw_push,0.0,8.728468228924566e-07,3.2588038846097843e-06
free_yaw_push,0.010416666666666666,1.467980908102459e-07,3.765708909961538e-07
free_yaw_push,0.020833333333333332,6.08433628948987e-08,1.2942690646278067e-07
free_yaw_push,0.03125,5.220614164552025e-08,1.203074116538419e-07
free_yaw_push,0.041666666666666664,4.422258413036379e-08,1.0398927797510195e-07
free_yaw_push,0.05208333333333333,3.588513453971823e-08,8.833796768937979e-08
free_yaw_push,0.0625,2.917506804292615e-08,7.774577167202844e-08
free_yaw_push,0.07291666666666666,2.4671265136817385e-08,7.262880168490982e-08
free_yaw_push,0.08333333333333333,2.1817770068106402e-08,7.033581663701958e-08
free_yaw_push,0.09375,1.930116096281483e-08,6.60285286981191e-08
free_yaw_push,0.10416666666666666,1.560324556540446e-08,5.4339889439309274e-08
free_yaw_push,0.11458333333333333,1.0368626744085732e-08,3.4766887051681255e-08
free_yaw_push,0.125,5.732739484245341e-09,1.6036252029549743e-08
free_yaw_push,0.13541666666666666,9.055892616534471e-09,2.8082230412225667e-08
free_yaw_push,0.14583333333333331,5.5887111425442774e-08,2.30089214336999e-07
free_yaw_push,0.15625,2.2829516261839416e-07,9.630482391920055e-07
