seed,subset_id,model,episode,generator,task_error_mm_equiv,task_endpoint_error_mm_equiv
20260818,105,Full operator,episode_0,yaw,1.5853832523838935,0.13528093094659524
20260818,105,Full operator,episode_1,yaw,0.8829181310448047,0.09707287606590427
20260818,105,Full operator,episode_3,yaw,3.0824775327807323,0.07260482273077323
20260818,105,Full operator,episode_4,yaw,3.83749227053748,0.1545626757666227
20260818,105,Full operator,episode_5,translation,3.9420061974121903,0.44606592897483816
20260818,105,Full operator,episode_7,translation,5.697932004317463,0.24776682529376345
20260818,105,Full operator,episode_8,translation,4.935364149688009,1.0685536513473644
20260818,105,Full operator,episode_9,translation,6.972668881469588,0.053041642920160496
20260818,105,Generic RBF,episode_0,yaw,2.8798708108843822,3.1903155590545267
20260818,105,Generic RBF,episode_1,yaw,2.804628399284153,3.4191624977769894
20260818,105,Generic RBF,episode_3,yaw,4.624390621029634,3.9583306418704236
20260818,105,Generic RBF,episode_4,yaw,5.174720921637475,4.2376397919605155
20260818,105,Generic RBF,episode_5,translation,3.3928469006829083,1.5454080267043804
20260818,105,Generic RBF,episode_7,translation,6.9817488963837215,5.808761857125678
20260818,105,Generic RBF,episode_8,translation,5.617315218677334,3.5469998843828567
20260818,105,Generic RBF,episode_9,translation,8.21054621833027,3.949286324478037
20260818,106,Pdiag finite,episode_0,yaw,1.9526819083261326,0.13560574272086204
20260818,106,Pdiag finite,episode_1,yaw,1.7188307764868154,0.2232258740447061
20260818,106,Pdiag finite,episode_3,yaw,3.197634127343631,0.17955447186172752
20260818,106,Pdiag finite,episode_4,yaw,1.9455893835778617,0.1680448591712647
20260818,106,Pdiag finite,episode_5,translation,1.9481740234927474,0.644216496317435
20260818,106,Pdiag finite,episode_7,translation,3.295481047629261,0.33893349572565185
20260818,106,Pdiag finite,episode_8,translation,2.6713907482762522,1.0986522355130082
20260818,106,Pdiag finite,episode_9,translation,3.7103036401786467,0.16659970571314422
20260818,106,Full operator,episode_0,yaw,2.9163272701600733,0.2520811845474607
