arm,seed,subset_id,protocol,sample_size,repeat,model,fit_success,fit_error,fit_seconds,e_alpha,m_oop_correct,alpha_active_du,alpha_active_dv,alpha_active_dw,alpha_active_roll,alpha_active_pitch,alpha_active_yaw
heading_push,20270818,13,random,30,1,Pdiag pointwise (SE(3)),True,,0.011383989010937512,0.05391111603269463,True,0.9664307381413191,1.0197316164899342,0.0292908594143992,0.010352487510656485,-0.0003206684476025065,0.7467047028797261
heading_push,20270818,13,random,30,1,Pdiag finite (SE(3)),True,,118.07312609895598,0.05385504838293964,True,0.9846839874922609,1.0216239071473556,0.041536470176153625,2.597174898157133e-08,0.16076010467567034,0.732718024553723
heading_push,20280818,1,random,8,1,Frame-weighted (SE(3)),True,,0.007103804033249617,0.19216482959791126,False,0.5043564197786852,0.5043564197786852,0.5043564197786852,0.5043564197786852,0.5043564197786852,0.5043564197786852
heading_push,20280818,1,random,8,1,Full operator (SE(3)),True,,0.0006113089621067047,0.09477180774696405,True,0.9363562649558066,0.9545687749960043,0.20803221263167382,-0.029310807553291116,0.003600208247462107,0.5605757126675049
heading_push,20280818,1,random,8,1,Pdiag pointwise (SE(3)),True,,0.018218063982203603,0.07444835834056882,True,0.9355085497591139,1.0883818142240747,0.12548399488348588,-0.03885005007795211,0.003648017305530354,0.5104996714367748
heading_push,20280818,1,random,8,1,Pdiag finite (SE(3)),True,,65.4346439599758,0.08120785750959965,False,0.9285380706096619,1.067375917690533,0.10741689212700635,0.05116873913836641,0.6360899258881603,0.5078655938348325
heading_push,20260818,13,random,30,1,Frame-weighted (SE(3)),True,,0.007588433916680515,0.19435273896193725,False,0.5941352006312764,0.5941352006312764,0.5941352006312764,0.5941352006312764,0.5941352006312764,0.5941352006312764
heading_push,20260818,13,random,30,1,Full operator (SE(3)),True,,0.0026671000523492694,0.05474979591681816,True,1.393207154824422,1.024853561526201,0.01451042951333675,0.0061051522108658,0.003809386202846207,0.7467827114967149
heading_push,20260818,13,random,30,1,Pdiag pointwise (SE(3)),True,,0.016926757991313934,0.05581212480278555,True,1.3447522387100026,0.9988205710469721,0.0007121234481477389,0.003237588672182407,0.0031745622409623158,0.7415763805097347
heading_push,20260818,13,random,30,1,Pdiag finite (SE(3)),True,,303.1367874110583,0.05425746407831229,True,1.2481699035774638,1.009903112615277,2.2058109292485085e-10,0.016538598301451022,0.08154771143523279,0.7275474366547058
heading_push,20270818,12,random,30,0,Frame-weighted (SE(3)),True,,0.007751874974928796,0.19150808771592198,False,0.5665492432055794,0.5665492432055794,0.5665492432055794,0.5665492432055794,0.5665492432055794,0.5665492432055794
heading_push,20270818,12,random,30,0,Full operator (SE(3)),True,,0.0007487509865313768,0.05828859264252216,True,1.4322065671816002,0.9324824550155583,0.020000179322807506,0.007395452230280325,0.0003220202762880399,0.7147229143071849
heading_push,20270818,12,random,30,0,Pdiag pointwise (SE(3)),True,,0.018745245062746108,0.05533367044169777,True,1.2646805830842798,0.9738219311690182,0.045062222758187255,0.004291924586577773,0.00010063933279344087,0.7116792937721186
heading_push,20270818,12,random,30,0,Pdiag finite (SE(3)),True,,138.60374556900933,0.05475862153776127,True,1.2283508551933664,0.9533270492410674,0.05861816927151073,0.014360578771222338,0.04382180818721918,0.6990914327067531
heading_push,20260818,9,qualified,15,0,Frame-weighted (SE(3)),True,,0.007095095003023744,0.1937197299497492,False,0.5946905587068501,0.5946905587068501,0.5946905587068501,0.5946905587068501,0.5946905587068501,0.5946905587068501
heading_push,20260818,9,qualified,15,0,Full operator (SE(3)),True,,0.003920838003978133,0.06197955848763867,True,1.819202286526778,1.0276679840421823,-0.001522961159926034,0.01145825389729075,0.0024998062445868623,0.6827917106462882
heading_push,20260818,9,qualified,15,0,Pdiag pointwise (SE(3)),True,,0.016835912014357746,0.058989499043905,True,1.6750054756700392,1.0212284412684058,-0.0022188637514922458,0.007468099355784484,0.002511660759581972,0.7017502408804247
heading_push,20260818,9,qualified,15,0,Pdiag finite (SE(3)),True,,316.4933030200191,0.054860317526561724,True,1.2499998128600551,1.0287198293063886,1.352319849116802e-11,0.01994191019785224,0.29361977886733476,0.6873819400043264
heading_push,20270818,16,qualified,30,1,Frame-weighted (SE(3)),True,,0.008292562095448375,0.19227703647805355,False,0.5677683809379878,0.5677683809379878,0.5677683809379878,0.5677683809379878,0.5677683809379878,0.5677683809379878
heading_push,20270818,16,qualified,30,1,Full operator (SE(3)),True,,0.0007179860258474946,0.05814576243187718,True,0.9222325414848828,0.9752115936073287,0.02163187265341332,-0.0027274641139986566,-0.00030212732728094867,0.713706830164185
heading_push,20270818,16,qualified,30,1,Pdiag pointwise (SE(3)),True,,0.020125075010582805,0.05884942416203925,True,0.9210360714817475,0.96584890550967,0.032526723865729044,-0.004464360687616104,-0.00045465794678386184,0.7088069048865321
heading_push,20270818,16,qualified,30,1,Pdiag finite (SE(3)),True,,123.84579130599741,0.057551254978794736,True,0.9411343700843229,0.9465611732501485,0.05324814879893624,0.028204559231689404,0.2708660476912013,0.6926424417946855
heading_push,20280818,2,random,8,2,Frame-weighted (SE(3)),True,,0.007211335934698582,0.19368928915172,False,0.5107411478118578,0.5107411478118578,0.5107411478118578,0.5107411478118578,0.5107411478118578,0.5107411478118578
heading_push,20280818,2,random,8,2,Full operator (SE(3)),True,,0.0006885860348120332,0.13126494532927271,True,2.9407049374208745,1.4105647770716592,0.037815802636079365,0.06260447761007668,0.004651732654664002,0.7007954978009909
heading_push,20280818,2,random,8,2,Pdiag pointwise (SE(3)),True,,0.01827613392379135,0.06011334848191268,True,0.9389431765743564,1.2942348563916768,0.03124551162359013,0.018696601896671956,0.0030243515421967643,0.7433847684073434
heading_push,20280818,2,random,8,2,Pdiag finite (SE(3)),True,,84.34542813699227,0.05536063770283066,True,0.9533772816485611,1.1598849788496428,0.2632953746349393,0.09895298330383039,0.32399823572310626,0.7014307687654878
heading_push,20280818,4,qualified,8,1,Frame-weighted (SE(3)),True,,0.007435140083543956,0.210406336375217,False,0.6315110455182733,0.6315110455182733,0.6315110455182733,0.6315110455182733,0.6315110455182733,0.6315110455182733
heading_push,20280818,4,qualified,8,1,Full operator (SE(3)),True,,0.0007311650551855564,0.11101640482751288,True,0.7806020881136615,1.0862375080121491,0.18746394280686585,-0.0022395467129279183,0.018793654339893516,0.6377611026840571
heading_push,20280818,4,qualified,8,1,Pdiag pointwise (SE(3)),True,,0.019205077085644007,0.13327307642542408,True,0.7518293655231447,1.0428737098894878,0.044776789050674164,0.02243136351548063,0.010504351244083285,0.7243286852943372
heading_push,20280818,4,qualified,8,1,Pdiag finite (SE(3)),True,,61.48688536207192,0.0876845229971225,True,0.7551773602971931,1.06093535467585,0.10890121876093167,0.0760585570267059,0.3036299924503397,0.6920282205913294
heading_push,20260818,11,qualified,15,2,Frame-weighted (SE(3)),True,,0.007180160959251225,0.2004768753554431,False,0.6556646532662878,0.6556646532662878,0.6556646532662878,0.6556646532662878,0.6556646532662878,0.6556646532662878
heading_push,20260818,11,qualified,15,2,Full operator (SE(3)),True,,0.001787440967746079,0.0697545514958314,True,1.9761591528034785,1.1269514537972318,0.009606275663606601,-0.02228037812308514,0.003388112381553073,0.6018020652824441
heading_push,20260818,11,qualified,15,2,Pdiag pointwise (SE(3)),True,,0.016802126076072454,0.06460367702907831,True,1.945845975251818,1.0894857275540366,0.02582871265265939,-0.01381274442153211,0.0021462099042549527,0.63353219683496
heading_push,20260818,11,qualified,15,2,Pdiag finite (SE(3)),True,,327.0774596739793,0.05339330147386749,True,1.2499999999996987,1.0989390653125608,0.02443925111219235,0.03929434172190946,2.8429691551954926e-12,0.6423401087066081
heading_push,20260818,17,qualified,30,2,Frame-weighted (SE(3)),True,,0.004387610009871423,0.19400887056846008,False,0.5933355818633274,0.5933355818633274,0.5933355818633274,0.5933355818633274,0.5933355818633274,0.5933355818633274
heading_push,20260818,17,qualified,30,2,Full operator (SE(3)),True,,0.0004983199760317802,0.05361307072726413,True,1.4285414779987775,1.0323813133648838,0.0018954871266519402,0.0023316283829934586,0.0028910498971013664,0.7490813816122768
