model,task_key,sample_size,alpha_active_du,alpha_active_dv,alpha_active_dw,alpha_active_roll,alpha_active_pitch,alpha_active_yaw
Phase scalar GP (SE(3)),wine_bottle_on_rack,8,0.8234249661586323,0.8234249661586323,0.8234249661586323,0.8234249661586323,0.8234249661586323,0.8234249661586323
TP-GMM additive (SE(3)),wine_bottle_on_rack,8,0.993742483545885,0.9928447261703562,0.9921726747860043,0.010444111977113035,0.012294977171195246,0.9950725637627351
TP-GMM SE(3),wine_bottle_on_rack,8,0.9931735867906022,0.9918498698815887,0.9913350246363445,0.013557090550028406,0.017272358325066683,0.9903987203226232
Full operator (SE(3)),wine_bottle_on_rack,8,0.9997050854577721,0.9980191585305046,0.9997995791068988,0.0,0.0,0.9997838537626349
Pdiag pointwise (SE(3)),wine_bottle_on_rack,8,0.9999999999999996,0.9999999999999998,0.9999999999999994,0.0,0.0,1.0000000000000002
Pdiag finite (SE(3)),wine_bottle_on_rack,8,1.010351801270704,1.01466658191269,1.003736932730244,0.02515549444126198,0.021500155699666776,1.0202304799199038
Frame-weighted (SE(3)),wine_bottle_on_rack,15,0.8522407855683949,0.8522407855683949,0.8522407855683949,0.8522407855683949,0.8522407855683949,0.8522407855683949
Phase scalar GP (SE(3)),wine_bottle_on_rack,15,0.8587214437842074,0.8587214437842074,0.8587214437842074,0.8587214437842074,0.8587214437842074,0.8587214437842074
TP-GMM additive (SE(3)),wine_bottle_on_rack,15,0.9953682487369326,0.9959065045761499,0.9958462150856894,0.007528289328322464,0.009406225752959463,0.9963644006429104
TP-GMM SE(3),wine_bottle_on_rack,15,0.9948794209136668,0.9953255401651444,0.995535339249863,0.00881887616393288,0.013016482706599867,0.9923802870663196
Full operator (SE(3)),wine_bottle_on_rack,15,0.9999707503454806,0.9999779183433957,0.999972920287775,0.0,0.0,0.9999835737400891
Pdiag pointwise (SE(3)),wine_bottle_on_rack,15,1.0,1.0,1.0,0.0,0.0,1.0
Pdiag finite (SE(3)),wine_bottle_on_rack,15,1.0238357310286041,1.016137995602322,0.9853802631442528,0.027745895907427858,0.021373391120819443,1.0237501240632922
Frame-weighted (SE(3)),wine_bottle_on_rack,30,0.841828363085583,0.841828363085583,0.841828363085583,0.841828363085583,0.841828363085583,0.841828363085583
Phase scalar GP (SE(3)),wine_bottle_on_rack,30,0.8482298424366682,0.8482298424366682,0.8482298424366682,0.8482298424366682,0.8482298424366682,0.8482298424366682
TP-GMM additive (SE(3)),wine_bottle_on_rack,30,0.9975815902754417,0.9965660789185348,0.9969791632588598,0.006987650940408689,0.006758573916909964,0.9972432370907689
TP-GMM SE(3),wine_bottle_on_rack,30,0.9952244748187566,0.9956730881967082,0.9959590955243315,0.008715262373249008,0.009741678512711202,0.9811244579459681
Full operator (SE(3)),wine_bottle_on_rack,30,0.9999919727983636,0.9999903529101665,0.9999884243308534,0.0,0.0,0.9999949039582536
Pdiag pointwise (SE(3)),wine_bottle_on_rack,30,1.0,1.0,1.0,0.0,0.0,0.9999999999999998
Pdiag finite (SE(3)),wine_bottle_on_rack,30,1.0337638648739702,1.0195166030020415,0.9693890153337976,0.025402069534757845,0.019797660677052638,1.0201342110098852
Frame-weighted (SE(3)),wine_bottle_on_cabinet,8,0.5449176913494568,0.5449176913494568,0.5449176913494568,0.5449176913494568,0.5449176913494568,0.5449176913494568
Phase scalar GP (SE(3)),wine_bottle_on_cabinet,8,0.5490613855091433,0.5490613855091433,0.5490613855091433,0.5490613855091433,0.5490613855091433,0.5490613855091433
TP-GMM additive (SE(3)),wine_bottle_on_cabinet,8,0.9944830194315186,0.9943677580660092,0.9935719819975769,0.012881842772360486,0.013305912010672438,0.005009745071813103
TP-GMM SE(3),wine_bottle_on_cabinet,8,0.9939648527701114,0.9934489675067787,0.9928500464105016,0.01642817619727473,0.01917321802420339,0.006347609531293689
Full operator (SE(3)),wine_bottle_on_cabinet,8,0.9997050854577721,0.9980191585305046,0.9997995791069023,0.0,0.0,0.0
Pdiag pointwise (SE(3)),wine_bottle_on_cabinet,8,0.9999999999999996,0.9999999999999998,0.999999999999999,0.0,0.0,0.0
Pdiag finite (SE(3)),wine_bottle_on_cabinet,8,0.9993143885683744,0.9950648438774127,1.003770448609699,0.029868077259300685,0.02210545758136958,0.02292802176304529
Frame-weighted (SE(3)),wine_bottle_on_cabinet,15,0.5677945169886441,0.5677945169886441,0.5677945169886441,0.5677945169886441,0.5677945169886441,0.5677945169886441
Phase scalar GP (SE(3)),wine_bottle_on_cabinet,15,0.5721121724273934,0.5721121724273934,0.5721121724273934,0.5721121724273934,0.5721121724273934,0.5721121724273934
TP-GMM additive (SE(3)),wine_bottle_on_cabinet,15,0.9958520023347259,0.9961281502745855,0.9959841406372711,0.007483226657642783,0.009925087508270813,0.002005312871120305
TP-GMM SE(3),wine_bottle_on_cabinet,15,0.9953631431008336,0.9955996619453027,0.995694010223619,0.009291723850139396,0.01439423726917203,0.0034532333692813832
Full operator (SE(3)),wine_bottle_on_cabinet,15,0.9999707503454806,0.9999779183433957,0.9999729202877747,0.0,0.0,0.0
Pdiag pointwise (SE(3)),wine_bottle_on_cabinet,15,1.0,1.0,0.9999999999999998,0.0,0.0,0.0
Pdiag finite (SE(3)),wine_bottle_on_cabinet,15,0.9904264950317265,1.0187660938172283,0.9854156542888336,0.02799647253350648,0.026082221333390266,0.023341420738031034
