dataset,episode,variant,event,frame,time_s
insert_jc_fix_3,11,own_terminal_offline,lift_clearance,189.0,6.300000190734863
insert_jc_fix_3,11,own_terminal_offline,assembly_region,229.0,7.633333206176758
insert_jc_fix_3,11,own_terminal_offline,axial_advance_candidate,261.0,8.699999809265137
insert_jc_fix_3,11,own_terminal_offline,terminal_settle_candidate,405.0,13.5
insert_jc_fix_3,11,own_terminal_offline,release,445.0,14.833333015441895
insert_jc_fix_3,12,strict,grasp,222.0,7.400000095367432
insert_jc_fix_3,12,strict,lift_clearance,264.0,8.800000190734863
insert_jc_fix_3,12,strict,assembly_region,322.0,10.733333587646484
insert_jc_fix_3,12,strict,axial_advance_candidate,436.0,14.533333778381348
insert_jc_fix_3,12,strict,terminal_settle_candidate,451.0,15.033333778381348
insert_jc_fix_3,12,strict,release,517.0,17.233333587646484
insert_jc_fix_3,12,main,grasp,222.0,7.400000095367432
insert_jc_fix_3,12,main,lift_clearance,264.0,8.800000190734863
insert_jc_fix_3,12,main,assembly_region,322.0,10.733333587646484
insert_jc_fix_3,12,main,axial_advance_candidate,411.0,13.699999809265137
insert_jc_fix_3,12,main,terminal_settle_candidate,451.0,15.033333778381348
insert_jc_fix_3,12,main,release,517.0,17.233333587646484
insert_jc_fix_3,12,loose,grasp,222.0,7.400000095367432
insert_jc_fix_3,12,loose,lift_clearance,264.0,8.800000190734863
insert_jc_fix_3,12,loose,assembly_region,322.0,10.733333587646484
insert_jc_fix_3,12,loose,axial_advance_candidate,411.0,13.699999809265137
insert_jc_fix_3,12,loose,terminal_settle_candidate,451.0,15.033333778381348
insert_jc_fix_3,12,loose,release,517.0,17.233333587646484
insert_jc_fix_3,12,own_terminal_offline,grasp,222.0,7.400000095367432
insert_jc_fix_3,12,own_terminal_offline,lift_clearance,264.0,8.800000190734863
insert_jc_fix_3,12,own_terminal_offline,assembly_region,324.0,10.800000190734863
insert_jc_fix_3,12,own_terminal_offline,axial_advance_candidate,411.0,13.699999809265137
insert_jc_fix_3,12,own_terminal_offline,terminal_settle_candidate,451.0,15.033333778381348
insert_jc_fix_3,12,own_terminal_offline,release,517.0,17.233333587646484
insert_jc_fix_3,13,strict,grasp,157.0,5.233333110809326
insert_jc_fix_3,13,strict,lift_clearance,192.0,6.400000095367432
insert_jc_fix_3,13,strict,assembly_region,216.0,7.199999809265137
insert_jc_fix_3,13,strict,axial_advance_candidate,310.0,10.333333015441895
insert_jc_fix_3,13,strict,terminal_settle_candidate,315.0,10.5
insert_jc_fix_3,13,strict,release,364.0,12.133333206176758
insert_jc_fix_3,13,main,grasp,157.0,5.233333110809326
insert_jc_fix_3,13,main,lift_clearance,192.0,6.400000095367432
insert_jc_fix_3,13,main,assembly_region,216.0,7.199999809265137
insert_jc_fix_3,13,main,axial_advance_candidate,294.0,9.800000190734863
insert_jc_fix_3,13,main,terminal_settle_candidate,315.0,10.5
insert_jc_fix_3,13,main,release,364.0,12.133333206176758
insert_jc_fix_3,13,loose,grasp,157.0,5.233333110809326
insert_jc_fix_3,13,loose,lift_clearance,192.0,6.400000095367432
insert_jc_fix_3,13,loose,assembly_region,216.0,7.199999809265137
insert_jc_fix_3,13,loose,axial_advance_candidate,236.0,7.866666793823242
insert_jc_fix_3,13,loose,terminal_settle_candidate,315.0,10.5
insert_jc_fix_3,13,loose,release,364.0,12.133333206176758
insert_jc_fix_3,13,own_terminal_offline,grasp,157.0,5.233333110809326
insert_jc_fix_3,13,own_terminal_offline,lift_clearance,192.0,6.400000095367432
insert_jc_fix_3,13,own_terminal_offline,assembly_region,217.0,7.233333110809326
insert_jc_fix_3,13,own_terminal_offline,axial_advance_candidate,236.0,7.866666793823242
insert_jc_fix_3,13,own_terminal_offline,terminal_settle_candidate,315.0,10.5
insert_jc_fix_3,13,own_terminal_offline,release,364.0,12.133333206176758
insert_jc_fix_3,14,strict,grasp,212.0,7.066666603088379
insert_jc_fix_3,14,strict,lift_clearance,250.0,8.333333015441895
insert_jc_fix_3,14,strict,assembly_region,302.0,10.066666603088379
insert_jc_fix_3,14,strict,axial_advance_candidate,,
insert_jc_fix_3,14,strict,terminal_settle_candidate,,
insert_jc_fix_3,14,strict,release,536.0,17.866666793823242
insert_jc_fix_3,14,main,grasp,212.0,7.066666603088379
insert_jc_fix_3,14,main,lift_clearance,250.0,8.333333015441895
insert_jc_fix_3,14,main,assembly_region,302.0,10.066666603088379
insert_jc_fix_3,14,main,axial_advance_candidate,334.0,11.133333206176758
insert_jc_fix_3,14,main,terminal_settle_candidate,466.0,15.533333778381348
insert_jc_fix_3,14,main,release,536.0,17.866666793823242
insert_jc_fix_3,14,loose,grasp,212.0,7.066666603088379
insert_jc_fix_3,14,loose,lift_clearance,250.0,8.333333015441895
insert_jc_fix_3,14,loose,assembly_region,302.0,10.066666603088379
insert_jc_fix_3,14,loose,axial_advance_candidate,326.0,10.866666793823242
insert_jc_fix_3,14,loose,terminal_settle_candidate,466.0,15.533333778381348
insert_jc_fix_3,14,loose,release,536.0,17.866666793823242
insert_jc_fix_3,14,own_terminal_offline,grasp,212.0,7.066666603088379
insert_jc_fix_3,14,own_terminal_offline,lift_clearance,250.0,8.333333015441895
insert_jc_fix_3,14,own_terminal_offline,assembly_region,303.0,10.100000381469727
insert_jc_fix_3,14,own_terminal_offline,axial_advance_candidate,325.0,10.833333015441895
insert_jc_fix_3,14,own_terminal_offline,terminal_settle_candidate,466.0,15.533333778381348
insert_jc_fix_3,14,own_terminal_offline,release,536.0,17.866666793823242
insert_jc_fix_3,15,strict,grasp,167.0,5.566666603088379
insert_jc_fix_3,15,strict,lift_clearance,202.0,6.733333110809326
insert_jc_fix_3,15,strict,assembly_region,241.0,8.033333778381348
insert_jc_fix_3,15,strict,axial_advance_candidate,277.0,9.233333587646484
insert_jc_fix_3,15,strict,terminal_settle_candidate,429.0,14.300000190734863
insert_jc_fix_3,15,strict,release,464.0,15.466666221618652
insert_jc_fix_3,15,main,grasp,167.0,5.566666603088379
insert_jc_fix_3,15,main,lift_clearance,202.0,6.733333110809326
insert_jc_fix_3,15,main,assembly_region,241.0,8.033333778381348
insert_jc_fix_3,15,main,axial_advance_candidate,277.0,9.233333587646484
insert_jc_fix_3,15,main,terminal_settle_candidate,429.0,14.300000190734863
insert_jc_fix_3,15,main,release,464.0,15.466666221618652
insert_jc_fix_3,15,loose,grasp,167.0,5.566666603088379
insert_jc_fix_3,15,loose,lift_clearance,202.0,6.733333110809326
insert_jc_fix_3,15,loose,assembly_region,241.0,8.033333778381348
insert_jc_fix_3,15,loose,axial_advance_candidate,277.0,9.233333587646484
insert_jc_fix_3,15,loose,terminal_settle_candidate,429.0,14.300000190734863
insert_jc_fix_3,15,loose,release,464.0,15.466666221618652
insert_jc_fix_3,15,own_terminal_offline,grasp,167.0,5.566666603088379
insert_jc_fix_3,15,own_terminal_offline,lift_clearance,202.0,6.733333110809326
insert_jc_fix_3,15,own_terminal_offline,assembly_region,241.0,8.033333778381348
insert_jc_fix_3,15,own_terminal_offline,axial_advance_candidate,278.0,9.266666412353516
insert_jc_fix_3,15,own_terminal_offline,terminal_settle_candidate,429.0,14.300000190734863
insert_jc_fix_3,15,own_terminal_offline,release,464.0,15.466666221618652
insert_jc_fix_3,16,strict,grasp,180.0,6.0
insert_jc_fix_3,16,strict,lift_clearance,216.0,7.199999809265137
insert_jc_fix_3,16,strict,assembly_region,242.0,8.066666603088379
insert_jc_fix_3,16,strict,axial_advance_candidate,300.0,10.0
insert_jc_fix_3,16,strict,terminal_settle_candidate,361.0,12.033333778381348
insert_jc_fix_3,16,strict,release,381.0,12.699999809265137
insert_jc_fix_3,16,main,grasp,180.0,6.0
