task,seed,subset_id,protocol,sample_size,repeat,model,fit_success,fit_error,fit_seconds,alpha_pre,alpha_post,e_alpha,switch_detected,switch_status,switch_location
circular_honest,20260818,0,random,5,0,Pdiag finite,True,,2.2412920142523944,0.0553417082599402,0.023924812388269864,0.002855479357237587,False,left_censored,
circular_honest,20260818,1,random,5,1,Frame-weighted,True,,0.006319348234683275,0.511147963057398,0.6629731746461032,0.3836635458397153,False,right_censored,
circular_honest,20260818,1,random,5,1,Phase scalar GP,True,,0.26439304929226637,0.5111330387179194,0.6629936210443164,0.3836320943244689,False,right_censored,
circular_honest,20260818,1,random,5,1,TP-GMM additive,True,,13.932797312736511,0.0050583530268178255,0.001891419789985706,2.2538727849224058e-05,False,left_censored,
circular_honest,20260818,1,random,5,1,TP-GMM SE(2),True,,13.06708663329482,0.007322606311452548,0.004095472732501008,0.00013577011658600865,False,left_censored,
circular_honest,20260818,1,random,5,1,Generic RBF,True,,0.28649667371064425,0.009610315694600455,-0.0008334517363571296,9.049407851587368e-05,False,left_censored,
circular_honest,20260818,1,random,5,1,Full operator,True,,0.002095032949000597,0.009677352449555327,-0.0008387401890288845,0.0001021946606759967,False,left_censored,
circular_honest,20260818,1,random,5,1,Pdiag pointwise,True,,0.007761999033391476,0.0037670598370502877,-0.0006335078839004766,4.600729799328097e-05,False,left_censored,
circular_honest,20260818,1,random,5,1,Pdiag finite,True,,1.4713066229596734,0.04108496597059859,0.02319190214482976,0.002366665267518049,False,left_censored,
circular_honest,20260818,2,random,5,2,Frame-weighted,True,,0.005971238017082214,0.33033927169114574,0.5695475156885422,0.2682475413004672,False,right_censored,
circular_honest,20260818,2,random,5,2,Phase scalar GP,True,,0.20134386606514454,0.33033988770673844,0.5695492824879124,0.2682187944467217,False,right_censored,
circular_honest,20260818,2,random,5,2,TP-GMM additive,True,,14.21717291790992,0.008569531268658502,0.010108924305468862,9.143402412113217e-05,False,left_censored,
circular_honest,20260818,2,random,5,2,TP-GMM SE(2),True,,12.2336481269449,0.002276045704365761,0.0011983718071051537,3.511274829300434e-05,False,left_censored,
circular_honest,20260818,2,random,5,2,Generic RBF,True,,0.20117780100554228,0.008356270966930509,-0.000858049282972031,9.628514335646894e-05,False,left_censored,
circular_honest,20260818,2,random,5,2,Full operator,True,,0.002104173880070448,0.008773747870187157,-0.0009549051453411049,0.00012481694532486318,False,left_censored,
circular_honest,20260818,2,random,5,2,Pdiag pointwise,True,,0.007838889956474304,0.014562602377145253,-0.00046443381699519523,0.0002809895307275621,False,left_censored,
circular_honest,20260818,2,random,5,2,Pdiag finite,True,,1.6496331510134041,0.03483141012907194,0.01531571044236514,0.001746326178060682,False,left_censored,
circular_honest,20260818,3,qualified,5,0,Frame-weighted,True,,0.006011164281517267,0.5114017766159339,0.6070509133807407,0.3335059246922733,False,right_censored,
circular_honest,20260818,3,qualified,5,0,Phase scalar GP,True,,0.26058119209483266,0.5114020551258349,0.6070521164807164,0.33350084579681377,False,right_censored,
circular_honest,20260818,3,qualified,5,0,TP-GMM additive,True,,16.304492278955877,0.005081843099072043,0.0031122020556897667,1.9753307083283988e-05,False,left_censored,
circular_honest,20260818,3,qualified,5,0,TP-GMM SE(2),True,,15.080115906894207,0.0026559779276734106,0.003090359724877294,1.9154049249572746e-05,False,left_censored,
circular_honest,20260818,3,qualified,5,0,Generic RBF,True,,0.3004875131882727,-0.007993104523827389,-0.0011326068255165945,8.165684439513108e-05,False,left_censored,
circular_honest,20260818,3,qualified,5,0,Full operator,True,,0.0021881419233977795,-0.020461342599534815,-0.009710920166287097,0.0014752680289531737,False,left_censored,
circular_honest,20260818,3,qualified,5,0,Pdiag pointwise,True,,0.008531725965440273,-0.013895246661784015,0.0009547031423684925,0.00019707378168290604,False,left_censored,
circular_honest,20260818,3,qualified,5,0,Pdiag finite,True,,1.3351559229195118,0.006141421558035627,0.0107992821175247,9.826078652877138e-05,False,left_censored,
circular_honest,20260818,4,qualified,5,1,Frame-weighted,True,,0.0064321719110012054,0.40152091512065596,0.4723063157346363,0.20544451823665674,False,left_censored,
circular_honest,20260818,4,qualified,5,1,Phase scalar GP,True,,0.20906788110733032,0.40140522966638054,0.4724289187372613,0.20542235463728015,False,left_censored,
circular_honest,20260818,4,qualified,5,1,TP-GMM additive,True,,18.339218131266534,0.006128443045744547,0.008917583326402946,6.199377909843544e-05,False,left_censored,
circular_honest,20260818,4,qualified,5,1,TP-GMM SE(2),True,,14.880628121085465,0.13085316087816978,0.21441095334238924,0.03578444745292815,False,left_censored,
circular_honest,20260818,4,qualified,5,1,Generic RBF,True,,0.250421741977334,-0.0003070848068015485,0.0015134344140186346,8.028148868166875e-06,False,left_censored,
circular_honest,20260818,4,qualified,5,1,Full operator,True,,0.0022438522428274155,-0.0004220926403665845,0.001185449454889488,1.0954267566989165e-05,False,left_censored,
circular_honest,20260818,4,qualified,5,1,Pdiag pointwise,True,,0.00824506999924779,-0.001295276741109389,0.002464644143959185,2.035505945089588e-05,False,left_censored,
circular_honest,20260818,4,qualified,5,1,Pdiag finite,True,,2.5921939206309617,0.009804503800868133,0.026049686340678935,0.00046860687090311535,False,left_censored,
circular_honest,20260818,5,qualified,5,2,Frame-weighted,True,,0.0060324957594275475,0.4880287798351544,0.5611995624930796,0.29412045797895553,False,right_censored,
circular_honest,20260818,5,qualified,5,2,Phase scalar GP,True,,0.2743299212306738,0.488028585009243,0.5612019152206525,0.29411321423666054,False,right_censored,
circular_honest,20260818,5,qualified,5,2,TP-GMM additive,True,,14.460694930050522,0.009387141351402705,0.0037756937304350767,9.153790301153519e-05,False,left_censored,
circular_honest,20260818,5,qualified,5,2,TP-GMM SE(2),True,,13.875599463935941,-0.0011704763897941008,0.00378123168113616,0.0001461271897853533,False,left_censored,
circular_honest,20260818,5,qualified,5,2,Generic RBF,True,,0.15106619615107775,-0.021734565774830208,0.02631233063039478,0.0017486413643890873,False,left_censored,
circular_honest,20260818,5,qualified,5,2,Full operator,True,,0.002012220211327076,-0.02566760236484327,0.035411336967685496,0.0032652457103267557,False,left_censored,
circular_honest,20260818,5,qualified,5,2,Pdiag pointwise,True,,0.007403942756354809,-0.01737153068611053,0.004252215185513518,0.0003568497175997873,False,left_censored,
circular_honest,20260818,5,qualified,5,2,Pdiag finite,True,,1.7438931977376342,0.008968778975842395,0.010460252562200846,0.0003061533458669332,False,left_censored,
circular_honest,20260818,6,random,10,0,Frame-weighted,True,,0.006481430027633905,0.3047047249869428,0.48317040789504473,0.19048870899365763,True,detected,0.9917907843592922
circular_honest,20260818,6,random,10,0,Phase scalar GP,True,,0.24271185416728258,0.30470110625034685,0.4831755029859246,0.19047955803459737,True,detected,0.9911551115977977
circular_honest,20260818,6,random,10,0,TP-GMM additive,True,,20.447514812927693,0.0019552186253520756,0.0015609680785356223,3.3214052569154246e-06,False,left_censored,
circular_honest,20260818,6,random,10,0,TP-GMM SE(2),True,,22.01485356502235,0.0005658582880195872,0.0015636751513742962,1.8116312399167486e-05,False,left_censored,
circular_honest,20260818,6,random,10,0,Generic RBF,True,,0.5547388140112162,-0.0010426788253365868,0.002219543516232148,1.1071383380823334e-05,False,left_censored,
circular_honest,20260818,6,random,10,0,Full operator,True,,0.0020946189761161804,-0.0011549263988672586,0.002308790061629173,1.5163776619852514e-05,False,left_censored,
circular_honest,20260818,6,random,10,0,Pdiag pointwise,True,,0.007761650253087282,0.00016376738337874823,0.0022169259299744336,1.6820087262614342e-05,False,left_censored,
circular_honest,20260818,6,random,10,0,Pdiag finite,True,,3.774344631936401,0.01152188795821282,0.01946191194109833,0.0002964738600576463,False,left_censored,
circular_honest,20260818,7,random,10,1,Frame-weighted,True,,0.006292442791163921,0.3896300052199356,0.49167284843835013,0.21116562695213273,True,detected,0.5403881871167496
circular_honest,20260818,7,random,10,1,Phase scalar GP,True,,0.2772047040052712,0.38966798556963766,0.4916369648844271,0.21115917181449576,True,detected,0.5433340312059185
circular_honest,20260818,7,random,10,1,TP-GMM additive,True,,21.9576719221659,0.009399638829351051,0.013667581323794496,0.00014721653833389806,False,left_censored,
circular_honest,20260818,7,random,10,1,TP-GMM SE(2),True,,20.92580014001578,0.008792264085739892,0.013671818943681802,0.00014680382029861285,False,left_censored,
circular_honest,20260818,7,random,10,1,Generic RBF,True,,0.3512423331849277,-0.0020482217664076273,0.00048548802663639444,5.294918064425072e-06,False,left_censored,
circular_honest,20260818,7,random,10,1,Full operator,True,,0.002057969104498625,-0.0021120933345917677,0.0005163775436480936,7.861189541825635e-06,False,left_censored,
circular_honest,20260818,7,random,10,1,Pdiag pointwise,True,,0.007579460274428129,-0.003486869259780539,0.0001559870046483322,1.2761296536558125e-05,False,left_censored,
circular_honest,20260818,7,random,10,1,Pdiag finite,True,,2.1119195828214288,0.014413144837198048,0.02811556623551871,0.000567390442763065,False,left_censored,
circular_honest,20260818,8,random,10,2,Frame-weighted,True,,0.0059720310382544994,0.42583909088223754,0.5584235212101158,0.270533738800784,False,right_censored,
circular_honest,20260818,8,random,10,2,Phase scalar GP,True,,0.16602772194892168,0.42582963240758176,0.5584355987809526,0.27052175968179426,False,right_censored,
circular_honest,20260818,8,random,10,2,TP-GMM additive,True,,25.086746241897345,0.001723041459854415,0.0015644404025022282,2.7519532468803964e-06,False,left_censored,
circular_honest,20260818,8,random,10,2,TP-GMM SE(2),True,,21.047287525143474,0.0011313266430300957,0.0015660362012488815,1.0480789056019269e-05,False,left_censored,
circular_honest,20260818,8,random,10,2,Generic RBF,True,,0.5096541908569634,-0.006049609029471852,0.0012566038823340353,6.380362358006666e-05,False,left_censored,
circular_honest,20260818,8,random,10,2,Full operator,True,,0.002266101073473692,-0.0063016755316160225,0.001332636156738051,7.256891803068721e-05,False,left_censored,
